FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,UTILIIZA_PRICE,UTILIIZA_CHRGE_PD,OFFM_TY,ACMD_NMPR_CO,MON_OPER_TIME,TUES_OPER_TIME,WED_OPER_TIME,THUR_OPER_TIME,FRI_OPER_TIME,SAT_OPER_TIME,SUN_OPER_TIME,AC_HOLD_AT,CAFE_HOLD_AT,PRINTER_HOLD_AT,PARCEL_SNDNG_POSBL_AT,DOORLOCK_AT,ELECT_OUTLET_AT,FAX_AT,N24H_OPER_AT,N365D_OPER_AT,HEATER_HOLD_AT,PARKNG_POSBL_AT,CMNUSE_LOUNGE_AT,CMNUSE_KITCHEN_AT,WPU_HOLD_AT,ROOFTOP_HOLD_AT,REFRESHMENTS_PROVD_AT,INDVDL_LOCKER_AT,TV_HOLD_AT,WBOARD_HOLD_AT,WIFI_HOLD_AT,BATH_FCLTY_HOLD_AT,WRHS_HOLD_AT,LAST_UPDT_DE
[신규오픈] 채움 오피스-최대6인,서울특별시,마포구,노고산동,,1-3 번지,신촌로,150 번,37.55626353,126.9421217,04104,서울특별시 마포구 신촌로 150,서울특별시 마포구 노고산동 1-3,,일,독립오피스,6,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,Y,N,N,20221116
[양재] 여성전용 오피스-2인실,서울특별시,서초구,양재동,,391-18 번지,동산로,68 번,37.47207627,127.0464132,06784,서울특별시 서초구 동산로 68,서울특별시 서초구 양재동 391-18,,일,독립오피스,2,09:00 ~ 17:00,09:00 ~ 17:00,09:00 ~ 17:00,09:00 ~ 17:00,09:00 ~ 17:00,휴무일,휴무일,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,Y,N,20221116
[엠플스페이스]명동소호사무실,서울특별시,중구,명동,,32-13 번지,퇴계로18길,33 번,37.55932567,126.9851558,04631,서울특별시 중구 퇴계로18길 33,서울특별시 중구 남산동2가 32-13,,일,독립오피스,4,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,20221116
[연희회관] 공유오피스,서울특별시,서대문구,연희동,,80-1 번지,연희로,160 번,37.57143824,126.9349463,03723,서울특별시 서대문구 연희로 160,서울특별시 서대문구 연희동 80-1,,월,독립오피스,6,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,N,N,Y,N,N,Y,Y,Y,Y,N,Y,20221116
[오픈프로모]예블랑 워크스페이스,서울특별시,강남구,청담동,,123-26 번지,도산대로89길,19-14 번,37.52605657,127.0505158,06012,서울특별시 강남구 도산대로89길 19-14,서울특별시 강남구 청담동 123-26,,월,독립오피스,1,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
[일산원데이오피스] 피터비즈센터,경기도,고양시 일산서구,대화동,,2223-2 번지,일산로,774 번,37.67488441,126.748564,10381,경기도 고양시 일산서구 일산로 774,경기도 고양시 일산서구 대화동 2223-2,,일,독립오피스,2,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,휴무일,휴무일,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,20221116
[차고123] 강남역 3인 독립실,서울특별시,강남구,역삼동,,830-69 번지,역삼로,123 번,37.49415449,127.0330086,06243,서울특별시 강남구 역삼로 123,서울특별시 강남구 역삼동 830-69,,월,독립오피스,3,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:30 ~ 22:30,06:30 ~ 22:30,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,20221116
[차고123]강남역 1인 독립실,서울특별시,강남구,역삼동,,830-69 번지,역삼로,123 번,37.49415449,127.0330086,06243,서울특별시 강남구 역삼로 123,서울특별시 강남구 역삼동 830-69,,월,독립오피스,1,06:30 ~ 23:00,06:30 ~ 23:00,06:30 ~ 23:00,06:30 ~ 23:00,06:30 ~ 23:00,06:30 ~ 22:30,06:30 ~ 22:30,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,20221116
[차고123]강남역 2인 독립실,서울특별시,강남구,역삼동,,830-69 번지,역삼로,123 번,37.49415449,127.0330086,06243,서울특별시 강남구 역삼로 123,서울특별시 강남구 역삼동 830-69,,월,독립오피스,2,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:30 ~ 22:30,06:30 ~ 22:30,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,20221116
[차고123]강남역 4인 독립실,서울특별시,강남구,역삼동,,830-69 번지,역삼로,123 번,37.49415449,127.0330086,06243,서울특별시 강남구 역삼로 123,서울특별시 강남구 역삼동 830-69,,월,독립오피스,4,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:30 ~ 22:30,06:30 ~ 22:30,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,20221116
[차고123]강남역 5인 독립실,서울특별시,강남구,역삼동,,830-69 번지,역삼로,123 번,37.49415449,127.0330086,06243,서울특별시 강남구 역삼로 123,서울특별시 강남구 역삼동 830-69,,월,독립오피스,5,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:30 ~ 22:30,06:30 ~ 22:30,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,20221116
